x,y
0,0
2.29551,1.07083
4.40738,1.9579
6.35031,2.6759
8.13779,3.23835
9.78228,3.65772
11.2952,3.94543
12.6871,4.11203
13.9676,4.1672
15.1458,4.11985
16.2296,3.97819
17.2267,3.74977
18.1441,3.44152
18.9881,3.05983
19.7646,2.61057
20.4789,2.09916
21.1361,1.53056
21.7407,0.909344
22.297,0.239728
22.8087,0
23.167,0.285659
23.4965,0.450365
23.7997,0.503795
24.0787,0.45485
24.3353,0.311721
24.5714,0.0819418
24.7886,0
24.9407,0.123799
25.0806,0.139593
25.2093,0.0560244
25.3277,0
25.4105,0.0699933
25.4868,0.0362872
25.5569,0
25.606,0.0516439
25.6512,0.0010562
25.6928,0
25.7219,0.0578563
25.7486,0.012984
25.7733,0
25.7905,0.055753
25.8064,0.00894573
25.8209,0
25.8312,0.0564651
25.8406,0.0103129
25.8492,0
25.8552,0.056224
25.8608,0.00985004
25.8659,0
25.8695,0.0563056
25.8728,0.0100068
25.8759,0
25.878,0.056278
25.8799,0.00995371
25.8817,0
25.883,0.0562873
25.8842,0.00997167
25.8852,0
25.886,0.0562842
25.8866,0.0099656
25.8873,0
25.8877,0.0562852
25.8881,0.00996765
25.8885,0
25.8888,0.0562849
25.889,0.00996696
25.8892,0
25.8894,0.056285
25.8895,0.00996719
25.8897,0
25.8897,0.056285
25.8898,0.00996711
25.8899,0
25.89,0.056285
25.89,0.00996714
25.8901,0
25.8901,0.056285
25.8901,0.00996712
25.8901,0
25.8902,0.056285
25.8902,0.00996713
25.8902,0
25.8902,0.056285
25.8902,0.00996713
25.8902,0
25.8902,0.056285
25.8902,0.00996713
25.8902,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
25.8903,0.00996713
25.8903,0
25.8903,0.056285
